accuracy,precision,recall,f1,auroc,confusion_matrix,split,n_records
0.9005013077593723,0.9876435346979531,0.9067262518620374,0.9454567178445547,0.8898357834261386,"{'tn': 350, 'fp': 99, 'fn': 814, 'tp': 7913}",train,9176
0.8777027027027027,0.9819324430479183,0.8877840909090909,0.9324878776575904,0.8136343907828284,"{'tn': 49, 'fp': 23, 'fn': 158, 'tp': 1250}",val,1480
0.7894828791055206,0.8262694922031187,0.9248153949429403,0.8727695069158484,0.7279111791812388,"{'tn': 386, 'fp': 869, 'fn': 336, 'tp': 4133}",evaluation,5724
0.7938504542278128,0.8341013824884793,0.9220376522702104,0.8758678729223648,0.7152248684881842,"{'tn': 381, 'fp': 828, 'fn': 352, 'tp': 4163}",test,5724
